Data_Tweet,Autor,Local,Tweet_Text,Retweeted,Favourited,Retweet Count,Favorite Count,In Reply to
2018-03-02 00:00:00,Saraiva,,"b'Blu-Rays por R$19,90 para voce comecar a montar sua cinemateca com filmes que marcaram epoca no Oscar: https://t.co/1D6tx2QTbo https://t.co/BynP5B8nIc'",False,False,3,34,
2018-03-01 22:30:00,Saraiva,,"b'Voce tem duas opcoes para mergulhar no universo da literatura digital. Lev Neo e Lev Fit, leitores ideais de acordo com a sua necessidade: https://t.co/cW29U4GABT https://t.co/KoPWRcnhLg'",False,False,1,13,
2018-03-01 21:20:00,Saraiva,,"b'A serie Elementos, de @brittainycherry, traz quatro historias que mexem com a gente, reunidas em um unico box para quem nao consegue esperar entre um livro e outro: https://t.co/vxkTezRnZS https://t.co/WqllaGqUtS'",False,False,2,16,
2018-03-01 20:15:14,Saraiva,,"b'#JB24 Hoje e dia de comemorar mais um #JustinBday. Para nossa sorte, e so o 24o: https://t.co/trCEcQ6v2I https://t.co/0bT1asOjgw'",False,False,7,35,
2018-03-01 00:00:01,Saraiva,,"b'Dica: busque pela playlist ""Haruki Murakami\'s vinyl collection"" no Spotify e curta o acervo de + de 3.000 musicas que inspiram o incrivel escritor japones. #EuAmoLer Murakami: https://t.co/bBzGHozMYe https://t.co/IThmqOtL4i'",False,False,7,21,
2018-02-28 22:05:00,Saraiva,,"b'As mulheres estao domando Hollywood. Nao apenas expondo os maus profissionais, mas com MUITO talento. Leia mais no blog: https://t.co/aIqIv7R0bx https://t.co/gvz6saZCHg'",False,False,6,39,
2018-02-28 20:00:02,Saraiva,,"b'Sobre a perversidade que o dinheiro pode proporcionar. Leia o livro sobre a historia real de J Paul Getty, que inspirou o filme de Ridley Scott ""Todo o Dinheiro do Mundo"": https://t.co/Y6qwPerOTT https://t.co/90Lw1N0aZU'",False,False,2,9,
2018-02-28 18:00:03,Saraiva,,"b'Em Julho tem Copa, voce nao vai querer passar o mes brigando por nota, ne? Para chegar merecendo aplausos logo nas primeiras provas: https://t.co/NWrk8to14s https://t.co/yiqskqm3xb'",False,False,0,6,
2018-02-27 22:00:01,Saraiva,,"b'""A medicina e um mergulho na condicao humana, a literatura tambem."" Leia #MoacyrScilar: https://t.co/C3HcoO1moL https://t.co/faBOt7kuD5'",False,False,1,17,
2018-02-27 20:00:02,Saraiva,,b'Junte pontos e ganhe descontos em tudo o que voce mais gosta. Faca parte do #SaraivaPlus: https://t.co/eM1J5yaByd https://t.co/F19jt6Oy8B',False,False,1,14,
2018-02-27 15:02:00,Saraiva,,b'Como os professores enxergam os calouros na primeira aula do semestre. Na Saraiva voce encontra tudo para te ajudar depois dessa bagunca: https://t.co/9D752hhPkY https://t.co/Vvt5Sh7xTY',False,False,0,12,
2018-02-27 13:00:01,Saraiva,,"b'A prosa de Charles Martin e um deleite, mas sua grande forca esta em construir personagens inesqueciveis. - Publishers Weekly. Leia ""Depois Daquela Montanha"": https://t.co/MkyO9BlJV2 https://t.co/uhJACFTukh'",False,False,0,7,
2018-02-27 00:10:00,Saraiva,,"b'Lideres mundiais se reunem para criar um sistema de satelites que controlem o clima e defendam a Terra dos desastres naturais. Sera que da errado? Descubra em ""Tempestade"": https://t.co/lPSw9dYyW3 https://t.co/oeBpuCAkL6'",False,False,2,18,
2018-02-26 22:10:00,Saraiva,,"b'Voce sabia que o fofissimo ""A Parte Que Falta"" e um livro de 1976? Alem disso, ele tambem ganhou uma continuacao, ""A Parte Que Falta Encontra o Grande O"". Em pre-venda: https://t.co/5Bc93eJu3m https://t.co/9dCFrP9Ken'",False,False,2,27,
2018-02-26 20:10:00,Saraiva,,b'Eventos de todos os tipos para todos os publicos. De contacoes de historias infantis ao autografo do seu autor predileto. Confira: https://t.co/oMx8MGi5qr https://t.co/3lZgT2rPQz',False,False,0,6,
2018-02-26 18:10:03,Saraiva,,b'O @terrycrews vira 50tao em 2018 e a gente aqui morrendo de preguica de ir para a academia. Confira quais famosos completam meio seculo em 2018: https://t.co/tDhC5w5lxY https://t.co/1QGsCGr6Ci',False,False,5,32,
